person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
288012;0;1228559.349721211;6198509.384679031;1228559.349721211;6198509.384679031;23967.0;73.0;0.0;88.65127413138998;walk;home;leisure;false;0.0
202621;0;1235288.0762664224;6159020.214321586;1235438.6839102881;6158173.974940199;23662.0;736.0;0.0;1329.230662197928;car;home;work;false;859.536941033294
50248;0;1210405.8724151724;6086810.477983024;1210315.7405030867;6086643.149721768;24136.0;398.0;0.0;804.0712625481459;car;home;other;false;190.05922390468788
50248;1;1210315.7405030867;6086643.149721768;1210381.1787628285;6086589.99320147;25336.0;88.0;0.0;173.47325014499896;car;other;work;false;84.30765972433856
245919;0;1207501.806983086;6153505.593263123;1207128.2541326685;6155251.037821298;24022.0;1671.0;0.0;2287.6631986789257;car;home;work;false;1784.9701503719284
288012;1;1228559.349721211;6198509.384679031;1228559.349721211;6198509.384679031;25827.0;73.0;0.0;88.65127413138998;walk;leisure;home;true;0.0
212165;0;1227112.4533378594;6130505.443039097;1226644.5520001638;6130771.869256385;25037.0;1052.0;0.0;2156.4665963077587;car;home;other;false;538.4371746783011
198700;0;1172987.9752814705;6179365.699777169;1174401.1313447563;6178774.693016458;24645.0;1522.0;0.0;1826.5811521950777;pt;home;work;false;1531.7633793793361
52927;0;1203669.8435549736;6083358.081116898;1205051.8532652883;6085348.325861292;23570.0;2617.0;0.0;3856.719572229937;car;home;work;false;2423.019806355679
242927;0;1207448.9430985958;6153295.72916357;1207108.9511952198;6154506.8421132155;24876.0;1380.0;0.0;1878.9027602448666;car;home;work;false;1257.9304715124158
142359;0;1175986.5029603373;6109546.520136353;1177779.7254556222;6110106.331932027;24126.0;2250.0;0.0;3010.0013901223;car;home;work;false;1878.57290627
324886;0;1228685.6508405942;6200106.113665405;1227731.8854058415;6198431.086319495;24065.0;2322.0;0.0;3458.1142013667663;car;home;work;false;1927.5334274856025
119902;0;1176261.5613184834;6109802.41315555;1175512.654295939;6110260.177191526;25098.0;1319.0;0.0;2254.6616951082533;car;home;other;false;877.7298223536535
118915;0;1175009.0554188627;6107105.593902391;1174141.8877680087;6107052.11364474;25445.0;1011.0;0.0;1386.4851409755947;car;home;other;false;868.815212025039
